v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2009  1  2.000000    23.3540288958      -4.986862438  
2009  1  7.000000    23.3635186338      -4.923165373  
2009  1 12.000000    23.3740958111      -4.852706067  
2009  1 17.000000    23.3856967610      -4.775882379  
2009  1 22.000000    23.3982585393      -4.693087199  
2009  1 27.000000    23.4117095808      -4.604782138  
2009  2  1.000000    23.4259684381      -4.511495489  
2009  2  6.000000    23.4409462574      -4.413803537  
2009  2 11.000000    23.4565537775      -4.312273719  
2009  2 16.000000    23.4727079994      -4.207417683  
2009  2 21.000000    23.4893253003      -4.099768290  
2009  2 26.000000    23.5063153342      -3.989912326  
2009  3  3.000000    23.5235817051      -3.878471468  
2009  3  8.000000    23.5410268368      -3.766082156  
2009  3 13.000000    23.5585597076      -3.653309830  
2009  3 18.000000    23.5760960183      -3.540689604  
2009  3 23.000000    23.5935490478      -3.428783861  
2009  3 28.000000    23.6108273381      -3.318187280  
2009  4  2.000000    23.6278370637      -3.209513729  
2009  4  7.000000    23.6444892169      -3.103329808  
2009  4 12.000000    23.6607049738      -3.000131340  
2009  4 17.000000    23.6764089398      -2.900396749  
2009  4 22.000000    23.6915230073      -2.804641041  
2009  4 27.000000    23.7059664583      -2.713384341  
2009  5  2.000000    23.7196605896      -2.627137807  
2009  5  7.000000    23.7325374767      -2.546319738  
2009  5 12.000000    23.7445384356      -2.471291755  
2009  5 17.000000    23.7556057996      -2.402425832  
2009  5 22.000000    23.7656804510      -2.340099164  
2009  5 27.000000    23.7747040612      -2.284688673  
2009  6  1.000000    23.7826268268      -2.236491094  
2009  6  6.000000    23.7894134007      -2.195708117  
2009  6 11.000000    23.7950350461      -2.162507308  
2009  6 16.000000    23.7994640604      -2.137057934  
2009  6 21.000000    23.8026745426      -2.119518658  
2009  6 26.000000    23.8046468420      -2.109992881  
2009  7  1.000000    23.8053773719      -2.108468143  
2009  7  6.000000    23.8048766609      -2.114843142  
2009  7 11.000000    23.8031598683      -2.129000745  
2009  7 16.000000    23.8002455419      -2.150807821  
2009  7 21.000000    23.7961578787      -2.180085175  
2009  7 26.000000    23.7909344973      -2.216556400  
2009  7 31.000000    23.7846323508      -2.259808441  
2009  8  5.000000    23.7773179995      -2.309388528  
2009  8 10.000000    23.7690613819      -2.364825561  
2009  8 15.000000    23.7599368094      -2.425628981  
2009  8 20.000000    23.7500273291      -2.491235846  
2009  8 25.000000    23.7394327153      -2.560959797  
2009  8 30.000000    23.7282666116      -2.634051357  
2009  9  4.000000    23.7166439007      -2.709749383  
2009  9  9.000000    23.7046792747      -2.787322417  
2009  9 14.000000    23.6924889431      -2.866012130  
2009  9 19.000000    23.6801971969      -2.944999393  
2009  9 24.000000    23.6679395793      -3.023399631  
2009  9 29.000000    23.6558512736      -3.100346911  
2009 10  4.000000    23.6440593756      -3.175041675  
2009 10  9.000000    23.6326835904      -3.246732766  
2009 10 14.000000    23.6218406852      -3.314686347  
2009 10 19.000000    23.6116505935      -3.378128084  
2009 10 24.000000    23.6022313790      -3.436326860  
2009 10 29.000000    23.5936873500      -3.488641549  
2009 11  3.000000    23.5861076621      -3.534539242  
2009 11  8.000000    23.5795692911      -3.573563816  
2009 11 13.000000    23.5741443184      -3.605263660  
2009 11 18.000000    23.5699019515      -3.629221881  
2009 11 23.000000    23.5668979664      -3.645112583  
2009 11 28.000000    23.5651695901      -3.652737888  
2009 12  3.000000    23.5647381211      -3.652000881  
2009 12  8.000000    23.5656144300      -3.642848416  
2009 12 13.000000    23.5678072338      -3.625238175  
2009 12 18.000000    23.5713171040      -3.599184363  
2009 12 23.000000    23.5761284802      -3.564818412  
2009 12 28.000000    23.5822103248      -3.522363920  
2010  1  2.000000    23.5895206213      -3.472109604  
2010  1  7.000000    23.5980145382      -3.414343762  
2010  1 12.000000    23.6076471996      -3.349351233  
2010  1 17.000000    23.6183639448      -3.277504407  
2010  1 22.000000    23.6300973107      -3.199246416  
2010  1 27.000000    23.6427710312      -3.115088309  
2010  2  1.000000    23.6563052361      -3.025537411  
2010  2  6.000000    23.6706246586      -2.931071097  
2010  2 11.000000    23.6856533710      -2.832179649  
2010  2 16.000000    23.7013064304      -2.729421086  
2010  2 21.000000    23.7174918263      -2.623408358  
2010  2 26.000000    23.7341144285      -2.514748429  
2010  3  3.000000    23.7510833654      -2.404027625  
2010  3  8.000000    23.7683147331      -2.291775157  
2010  3 13.000000    23.7857215735      -2.178564920  
2010  3 18.000000    23.8032106058      -2.065014033  
2010  3 23.000000    23.8206857321      -1.951748963  
2010  3 28.000000    23.8380535821      -1.839370215  
2010  4  2.000000    23.8552297568      -1.728411332  
2010  4  7.000000    23.8721346176      -1.619392023  
2010  4 12.000000    23.8886838849      -1.512864002  
2010  4 17.000000    23.9047901316      -1.409406832  
2010  4 22.000000    23.9203670470      -1.309572308  
2010  4 27.000000    23.9353363854      -1.213852336  
2010  5  2.000000    23.9496300347      -1.122682139  
2010  5  7.000000    23.9631803198      -1.036494447  
2010  5 12.000000    23.9759164516      -0.955761411  
2010  5 17.000000    23.9877676717      -0.880932274  
2010  5 22.000000    23.9986694151      -0.812404723  
2010  5 27.000000     0.0085700528      -0.750497413  
2010  6  1.000000     0.0174250424      -0.695480107  
2010  6  6.000000     0.0251892586      -0.647650646  
2010  6 11.000000     0.0318175608      -0.607290177  
2010  6 16.000000     0.0372698353      -0.574641145  
2010  6 21.000000     0.0415189044      -0.549845259  
2010  6 26.000000     0.0445519241      -0.532965963  
2010  7  1.000000     0.0463602479      -0.524046091  
2010  7  6.000000     0.0469365314      -0.523121398  
2010  7 11.000000     0.0462786594      -0.530195755  
2010  7 16.000000     0.0443954516      -0.545167713  
2010  7 21.000000     0.0413147206      -0.567833762  
2010  7 26.000000     0.0370751809      -0.597915272  
2010  7 31.000000     0.0317186833      -0.635133640  
2010  8  5.000000     0.0252917457      -0.679173252  
2010  8 10.000000     0.0178499407      -0.729643906  
2010  8 15.000000     0.0094656764      -0.786043598  
2010  8 20.000000     0.0002283470      -0.847759591  
2010  8 25.000000    23.9902317469      -0.914181980  
2010  8 30.000000    23.9795711284      -0.984679108  
2010  9  4.000000    23.9683466920      -1.058588469  
2010  9  9.000000    23.9566686107      -1.135168995  
2010  9 14.000000    23.9446622235      -1.213579666  
2010  9 19.000000    23.9324587271      -1.292969462  
2010  9 24.000000    23.9201842681      -1.372521735  
2010  9 29.000000    23.9079621400      -1.451442186  
2010 10  4.000000    23.8959162335      -1.528918289  
2010 10  9.000000    23.8841763957      -1.604098298  
2010 10 14.000000    23.8728769429      -1.676115112  
2010 10 19.000000    23.8621421915      -1.744181911  
2010 10 24.000000    23.8520838921      -1.807603895  
2010 10 29.000000    23.8428045785      -1.865722632  
2010 11  3.000000    23.8344032360      -1.917912463  
2010 11  8.000000    23.8269779854      -1.963541810  
2010 11 13.000000    23.8206175172      -2.002067540  
2010 11 18.000000    23.8153915886      -2.033081540  
2010 11 23.000000    23.8113540038      -2.056253543  
2010 11 28.000000    23.8085485936      -2.071327226  
2010 12  3.000000    23.8070146509      -2.078052247  
2010 12  8.000000    23.8067852408      -2.076243838  
2010 12 13.000000    23.8078761937      -2.065833876  
2010 12 18.000000    23.8102852971      -2.046871022  
2010 12 23.000000    23.8139980006      -2.019465076  
2010 12 28.000000    23.8189941857      -1.983755211  
2011  1  2.000000    23.8252521089      -1.939897888  
2011  1  7.000000    23.8327398011      -1.888116634  
2011  1 12.000000    23.8414098572      -1.828757750  
2011  1 17.000000    23.8512030982      -1.762213390  
2011  1 22.000000    23.8620551237      -1.688910954  
2011  1 27.000000    23.8739030724      -1.609259225  
2011  2  1.000000    23.8866830189      -1.523680916  
2011  2  6.000000    23.9003207773      -1.432686414  
2011  2 11.000000    23.9147320417      -1.336835963  
2011  2 16.000000    23.9298283177      -1.236713463  
2011  2 21.000000    23.9455228606      -1.132878331  
2011  2 26.000000    23.9617349054      -1.025856445  
2011  3  3.000000    23.9783807639      -0.916210907  
2011  3  8.000000    23.9953682305      -0.804556271  
2011  3 13.000000     0.0126013594      -0.691528460  
2011  3 18.000000     0.0299853492      -0.577736683  
2011  3 23.000000     0.0474328868      -0.463747627  
2011  3 28.000000     0.0648619392      -0.350098885  
2011  4  2.000000     0.0821849481      -0.237375035  
2011  4  7.000000     0.0993098744      -0.126186504  
2011  4 12.000000     0.1161450329      -0.017120213  
2011  4 17.000000     0.1326051770       0.089274854  
2011  4 22.000000     0.1486143588       0.192520164  
2011  4 27.000000     0.1640982875       0.292117966  
2011  5  2.000000     0.1789769616       0.387549491  
2011  5  7.000000     0.1931700610       0.478296085  
2011  5 12.000000     0.2066021847       0.563885141  
2011  5 17.000000     0.2192080431       0.643921410  
2011  5 22.000000     0.2309311694       0.718035876  
2011  5 27.000000     0.2417125522       0.785853445  
2011  6  1.000000     0.2514914622       0.846985448  
2011  6  6.000000     0.2602112577       0.901089407  
2011  6 11.000000     0.2678255431       0.947893994  
2011  6 16.000000     0.2743010844       0.987208309  
2011  6 21.000000     0.2796096150       1.018854690  
2011  6 26.000000     0.2837214601       1.042651689  
2011  7  1.000000     0.2866104905       1.058457346  
2011  7  6.000000     0.2882607386       1.066193960  
2011  7 11.000000     0.2886719487       1.065900599  
2011  7 16.000000     0.2878564482       1.057670312  
2011  7 21.000000     0.2858291270       1.041607893  
2011  7 26.000000     0.2826073901       1.017851790  
2011  7 31.000000     0.2782185341       0.986601325  
2011  8  5.000000     0.2727049874       0.948174111  
2011  8 10.000000     0.2661274165       0.902986864  
2011  8 15.000000     0.2585538139       0.851487000  
2011  8 20.000000     0.2500535373       0.794141771  
2011  8 25.000000     0.2407027881       0.731464702  
2011  8 30.000000     0.2305894905       0.664061234  
2011  9  4.000000     0.2198188284       0.592639085  
2011  9  9.000000     0.2085067603       0.517963751  
2011  9 14.000000     0.1967682507       0.440778620  
2011  9 19.000000     0.1847176530       0.361843935  
2011  9 24.000000     0.1724745395       0.281952341  
2011  9 29.000000     0.1601675833       0.201958634  
2011 10  4.000000     0.1479348229       0.122772097  
2011 10  9.000000     0.1359107685       0.045246753  
2011 10 14.000000     0.1242193929      -0.029810874  
2011 10 19.000000     0.1129800873      -0.101631693  
2011 10 24.000000     0.1023112668      -0.169435729  
2011 10 29.000000     0.0923334907      -0.232444243  
2011 11  3.000000     0.0831631270      -0.289923858  
2011 11  8.000000     0.0748989669      -0.341259681  
2011 11 13.000000     0.0676253852      -0.385927395  
2011 11 18.000000     0.0614178631      -0.423442053  
2011 11 23.000000     0.0563473632      -0.453357398  
2011 11 28.000000     0.0524800599      -0.475267854  
2011 12  3.000000     0.0498662582      -0.488888469  
2011 12  8.000000     0.0485358391      -0.494057531  
2011 12 13.000000     0.0485057115      -0.490686772  
2011 12 18.000000     0.0497857221      -0.478726407  
2011 12 23.000000     0.0523815578      -0.458160212  
2011 12 28.000000     0.0562899325      -0.429049380  
2012  1  2.000000     0.0614888945      -0.391571432  
2012  1  7.000000     0.0679420192      -0.345990002  
2012  1 12.000000     0.0756062275      -0.292600404  
2012  1 17.000000     0.0844363882      -0.231704141  
2012  1 22.000000     0.0943858301      -0.163638257  
2012  1 27.000000     0.1053963409      -0.088809466  
2012  2  1.000000     0.1173963593      -0.007713130  
2012  2  6.000000     0.1303082267       0.079131305  
2012  2 11.000000     0.1440540708       0.171215786  
2012  2 16.000000     0.1585598795       0.268039728  
2012  2 21.000000     0.1737487709       0.369078097  
2012  2 26.000000     0.1895336878       0.473738741  
2012  3  2.000000     0.2058211194       0.581403040  
2012  3  7.000000     0.2225184130       0.691461429  
2012  3 12.000000     0.2395379148       0.803348753  
2012  3 17.000000     0.2567973549       0.916507150  
2012  3 22.000000     0.2742089044       1.030348996  
2012  3 27.000000     0.2916777245       1.144251734  
2012  4  1.000000     0.3091092296       1.257596687  
2012  4  6.000000     0.3264134268       1.369814925  
2012  4 11.000000     0.3435090010       1.480376299  
2012  4 16.000000     0.3603167873       1.588759296  
2012  4 21.000000     0.3767506061       1.694400530  
2012  4 26.000000     0.3927226803       1.796741484  
2012  5  1.000000     0.4081492723       1.895258223  
2012  5  6.000000     0.4229552154       1.989485073  
2012  5 11.000000     0.4370739135       2.078998448  
2012  5 16.000000     0.4504364239       2.163353991  
2012  5 21.000000     0.4629695191       2.242095848  
2012  5 26.000000     0.4746033787       2.314800888  
2012  5 31.000000     0.4852766958       2.381106533  
2012  6  5.000000     0.4949392225       2.440713487  
2012  6 10.000000     0.5035470599       2.493349329  
2012  6 15.000000     0.5110519940       2.538722111  
2012  6 20.000000     0.5174079906       2.576565520  
2012  6 25.000000     0.5225777951       2.606679546  
2012  6 30.000000     0.5265370750       2.628941763  
2012  7  5.000000     0.5292743341       2.643298864  
2012  7 10.000000     0.5307801438       2.649706605  
2012  7 15.000000     0.5310454545       2.648128337  
2012  7 20.000000     0.5300697188       2.638604060  
2012  7 25.000000     0.5278670093       2.621255933  
2012  7 30.000000     0.5244678541       2.596309417  
2012  8  4.000000     0.5199126977       2.564035876  
2012  8  9.000000     0.5142429661       2.524715131  
2012  8 14.000000     0.5075059509       2.478683178  
2012  8 19.000000     0.4997627728       2.426367480  
2012  8 24.000000     0.4910915610       2.368296756  
2012  8 29.000000     0.4815848790       2.305074036  
2012  9  3.000000     0.4713377368       2.237322956  
2012  9  8.000000     0.4604458954       2.165669264  
2012  9 13.000000     0.4490134381       2.090817798  
2012  9 18.000000     0.4371569305       2.013539066  
2012  9 23.000000     0.4250062437       1.934676315  
2012  9 28.000000     0.4126935171       1.855081971  
2012 10  3.000000     0.4003444797       1.775563756  
2012 10  8.000000     0.3880831046       1.696935859  
2012 10 13.000000     0.3760370561       1.620035446  
2012 10 18.000000     0.3643399815       1.545727458  
2012 10 23.000000     0.3531260770       1.474862337  
2012 10 28.000000     0.3425168498       1.408207543  
2012 11  2.000000     0.3326206444       1.346451612  
2012 11  7.000000     0.3235398404       1.290256394  
2012 11 12.000000     0.3153742368       1.240258881  
2012 11 17.000000     0.3082207884       1.197059416  
2012 11 22.000000     0.3021636445       1.161167881  
2012 11 27.000000     0.2972657741       1.132961459  
2012 12  2.000000     0.2935772565       1.112744872  
2012 12  7.000000     0.2911404034       1.100778610  
2012 12 12.000000     0.2899926705       1.097272716  
2012 12 17.000000     0.2901627539       1.102375047  
2012 12 22.000000     0.2916596285       1.116099690  
2012 12 27.000000     0.2944748545       1.138365068  
2013  1  1.000000     0.2985916334       1.169041454  
2013  1  6.000000     0.3039891192       1.207968990  
2013  1 11.000000     0.3106423817       1.254954665  
2013  1 16.000000     0.3185154799       1.309715814  
2013  1 21.000000     0.3275548518       1.371879743  
2013  1 26.000000     0.3376986536       1.441021551  
2013  1 31.000000     0.3488833642       1.516715999  
2013  2  5.000000     0.3610460045       1.598529620  
2013  2 10.000000     0.3741207845       1.686001531  
2013  2 15.000000     0.3880301960       1.778596142  
2013  2 20.000000     0.4026869697       1.875733856  
2013  2 25.000000     0.4180036609       1.976843371  
2013  3  2.000000     0.4338963761       2.081363435  
2013  3  7.000000     0.4502846673       2.188759779  
2013  3 12.000000     0.4670834450       2.298450280  
2013  3 17.000000     0.4841984199       2.409817150  
2013  3 22.000000     0.5015333700       2.522243090  
2013  3 27.000000     0.5189969646       2.635137467  
2013  4  1.000000     0.5365044551       2.747953490  
2013  4  6.000000     0.5539734561       2.860146742  
2013  4 11.000000     0.5713149499       2.971138446  
2013  4 16.000000     0.5884351981       3.080339671  
2013  4 21.000000     0.6052447593       3.187194612  
2013  4 26.000000     0.6216614471       3.291190701  
2013  5  1.000000     0.6376106732       3.391857144  
2013  5  6.000000     0.6530164282       3.488711294  
2013  5 11.000000     0.6677964727       3.581244455  
2013  5 16.000000     0.6818703679       3.668981504  
2013  5 21.000000     0.6951655005       3.751486340  
2013  5 26.000000     0.7076189123       3.828382566  
2013  5 31.000000     0.7191732983       3.899325124  
2013  6  5.000000     0.7297672731       3.963938047  
2013  6 10.000000     0.7393381611       4.021871218  
2013  6 15.000000     0.7478313557       4.072812960  
2013  6 20.000000     0.7552035273       4.116527065  
2013  6 25.000000     0.7614222239       4.152831562  
2013  6 30.000000     0.7664581302       4.181560701  
2013  7  5.000000     0.7702790713       4.202545356  
2013  7 10.000000     0.7728599774       4.215665722  
2013  7 15.000000     0.7741891144       4.220890574  
2013  7 20.000000     0.7742692249       4.218256807  
2013  7 25.000000     0.7731137440       4.207871169  
2013  7 30.000000     0.7707366999       4.189835771  
2013  8  4.000000     0.7671559618       4.164300811  
2013  8  9.000000     0.7624034767       4.131499239  
2013  8 14.000000     0.7565280119       4.091761656  
2013  8 19.000000     0.7495931983       4.045502649  
2013  8 24.000000     0.7416688288       3.993163229  
2013  8 29.000000     0.7328251368       3.935214313  
2013  9  3.000000     0.7231420529       3.872181693  
2013  9  8.000000     0.7127154211       3.804693623  
2013  9 13.000000     0.7016557394       3.733457245  
2013  9 18.000000     0.6900816781       3.659216609  
2013  9 23.000000     0.6781093338       3.582718147  
2013  9 28.000000     0.6658549361       3.504711595  
2013 10  3.000000     0.6534436736       3.426008722  
2013 10  8.000000     0.6410102312       3.347470564  
2013 10 13.000000     0.6286949548       3.269975757  
2013 10 18.000000     0.6166315413       3.194366774  
2013 10 23.000000     0.6049430350       3.121427136  
2013 10 28.000000     0.5937496429       3.051932324  
2013 11  2.000000     0.5831733030       2.986652621  
2013 11  7.000000     0.5733355205       2.926353422  
2013 11 12.000000     0.5643494409       2.871720777  
2013 11 17.000000     0.5563092582       2.823344457  
2013 11 22.000000     0.5492955772       2.781735886  
2013 11 27.000000     0.5433836614       2.747353925  
2013 12  2.000000     0.5386435873       2.720636382  
2013 12  7.000000     0.5351376846       2.701933689  
2013 12 12.000000     0.5329094859       2.691495505  
2013 12 17.000000     0.5319823115       2.689449524  
2013 12 22.000000     0.5323700633       2.695865721  
2013 12 27.000000     0.5340812703       2.710772059  
2014  1  1.000000     0.5371184628       2.734148004  
2014  1  6.000000     0.5414728081       2.765895244  
2014  1 11.000000     0.5471153684       2.805792301  
2014  1 16.000000     0.5540054235       2.853566111  
2014  1 21.000000     0.5620992514       2.908905434  
2014  1 26.000000     0.5713509736       2.971490249  
2014  1 31.000000     0.5817103324       3.040957474  
2014  2  5.000000     0.5931148624       3.116868776  
2014  2 10.000000     0.6054880929       3.198722775  
2014  2 15.000000     0.6187521297       3.285999813  
2014  2 20.000000     0.6328310532       3.378197661  
2014  2 25.000000     0.6476498177       3.474805382  
2014  3  2.000000     0.6631295617       3.575287728  
2014  3  7.000000     0.6791797709       3.679055497  
