v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (GUST86, Laskar J. et al (1987) A&A, v.188, p.212.)
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 

Год  Месяц День       alpha (h)          delta (º)
2009  1  7.000000    23.3636615080      -4.931990562  
2009  1 12.000000    23.3742317176      -4.858903307  
2009  1 17.000000    23.3855771459      -4.770050058  
2009  1 22.000000    23.3984872313      -4.706224190  
2009  1 27.000000    23.4117089157      -4.603372580  
2009  2  1.000000    23.4259199997      -4.510867867  
2009  2  6.000000    23.4411782351      -4.426033249  
2009  2 11.000000    23.4564350726      -4.305355124  
2009  2 16.000000    23.4727672610      -4.213434736  
2009  2 21.000000    23.4894736505      -4.106177730  
2009  2 26.000000    23.5061410485      -3.982009530  
2009  3  3.000000    23.5237346899      -3.889048836  
2009  3  8.000000    23.5410342829      -3.764406523  
2009  3 13.000000    23.5584104230      -3.649100714  
2009  3 18.000000    23.5762825777      -3.551162828  
2009  3 23.000000    23.5934097014      -3.420376881  
2009  3 28.000000    23.6107687322      -3.320140745  
2009  4  2.000000    23.6279730895      -3.214889993  
2009  4  7.000000    23.6442527121      -3.092457283  
2009  4 12.000000    23.6607599164      -3.007277773  
2009  4 17.000000    23.6764211463      -2.897795255  
2009  4 22.000000    23.6912781717      -2.796408022  
2009  4 27.000000    23.7061007133      -2.721726554  
2009  5  2.000000    23.7195193028      -2.617180788  
2009  5  7.000000    23.7323780253      -2.544219300  
2009  5 12.000000    23.7446735973      -2.475857990  
2009  5 17.000000    23.7553452750      -2.389047867  
2009  5 22.000000    23.7656621427      -2.344240090  
2009  5 27.000000    23.7747509583      -2.281989185  
2009  6  1.000000    23.7823384036      -2.225138829  
2009  6  6.000000    23.7895260717      -2.202862195  
2009  6 11.000000    23.7949391489      -2.152400762  
2009  6 16.000000    23.7992600112      -2.132086019  
2009  6 21.000000    23.8028427517      -2.124750571  
2009  6 26.000000    23.8044222657      -2.095923416  
2009  7  1.000000    23.8053376706      -2.111073449  
2009  7  6.000000    23.8049948765      -2.114067708  
2009  7 11.000000    23.8028927821      -2.116514547  
2009  7 16.000000    23.8003759580      -2.158506067  
2009  7 21.000000    23.7961463209      -2.172235455  
2009  7 26.000000    23.7907444975      -2.210664954  
2009  7 31.000000    23.7848565722      -2.267704990  
2009  8  5.000000    23.7771704865      -2.297170206  
2009  8 10.000000    23.7690414446      -2.367643997  
2009  8 15.000000    23.7601352023      -2.428959575  
2009  8 20.000000    23.7498191023      -2.479892940  
2009  8 25.000000    23.7395957982      -2.570616433  
2009  8 30.000000    23.7283412549      -2.630682556  
2009  9  4.000000    23.7164939780      -2.704599931  
2009  9  9.000000    23.7049494455      -2.798958841  
2009  9 14.000000    23.6924173978      -2.857533970  
2009  9 19.000000    23.6802015223      -2.948739294  
2009  9 24.000000    23.6681924180      -3.031608482  
2009  9 29.000000    23.6556973848      -3.091325772  
2009 10  4.000000    23.6442364188      -3.186399307  
2009 10  9.000000    23.6328140349      -3.248225123  
2009 10 14.000000    23.6217163619      -3.310360109  
2009 10 19.000000    23.6119310783      -3.392430151  
2009 10 24.000000    23.6022062495      -3.431460548  
2009 10 29.000000    23.5936869486      -3.492205437  
2009 11  3.000000    23.5863746577      -3.546013095  
2009 11  8.000000    23.5794391396      -3.566093770  
2009 11 13.000000    23.5742934853      -3.616175459  
2009 11 18.000000    23.5700510274      -3.633695285  
2009 11 23.000000    23.5667611057      -3.640112878  
2009 11 28.000000    23.5654157142      -3.666948526  
2009 12  3.000000    23.5647268337      -3.648862970  
2009 12  8.000000    23.5655621625      -3.644072945  
2009 12 13.000000    23.5680495027      -3.637084255  
2009 12 18.000000    23.5711765159      -3.591425500  
2009 12 23.000000    23.5762004470      -3.572756010  
2009 12 28.000000    23.5823497121      -3.527287579  
2010  1  2.000000    23.5893327410      -3.464688983  
2010  1  7.000000    23.5981844911      -3.425938693  
2010  1 12.000000    23.6076294053      -3.345977743  
2010  1 17.000000    23.6182202412      -3.274794699  
2010  1 22.000000    23.6302881975      -3.209346972  
2010  1 27.000000    23.6426051992      -3.105738744  
2010  2  1.000000    23.6562678093      -3.029177781  
2010  2  6.000000    23.6707457189      -2.934986557  
2010  2 11.000000    23.6854049266      -2.821641476  
2010  2 16.000000    23.7013823506      -2.737448605  
2010  2 21.000000    23.7174761536      -2.619119896  
2010  2 26.000000    23.7338783287      -2.507953935  
2010  3  3.000000    23.7512251939      -2.411977338  
2010  3  8.000000    23.7681475481      -2.280899839  
2010  3 13.000000    23.7855841562      -2.178156070  
2010  3 18.000000    23.8033365341      -2.068131624  
2010  3 23.000000    23.8204134315      -1.938792711  
2010  3 28.000000    23.8380578647      -1.844515980  
2010  4  2.000000    23.8552585774      -1.724042098  
2010  4  7.000000    23.8718515622      -1.609638397  
2010  4 12.000000    23.8888111894      -1.519763992  
2010  4 17.000000    23.9046784206      -1.398364482  
2010  4 22.000000    23.9201789774      -1.306569449  
2010  4 27.000000    23.9355117295      -1.217689809  
2010  5  2.000000    23.9493992778      -1.109040907  
2010  5  7.000000    23.9631606450      -1.040445996  
2010  5 12.000000    23.9760405264      -0.953166286  
