v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (GUST86, Laskar J. et al (1987) A&A, v.188, p.212.)
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 

Год  Месяц День       alpha (h)          delta (º)
1955  1 26.000000     7.8654100964      21.508056447  
1955  2  5.000000     7.8352783724      21.577263045  
1955  2 15.000000     7.8082288950      21.662207401  
1955  2 25.000000     7.7862742737      21.725037509  
1955  3  7.000000     7.7684474026      21.751246824  
1955  3 17.000000     7.7548024170      21.775601864  
1955  3 27.000000     7.7479134923      21.806212205  
1955  4  6.000000     7.7485576979      21.806199736  
1955  4 16.000000     7.7546776115      21.770378105  
1955  4 26.000000     7.7658857916      21.735155226  
1955  5  6.000000     7.7839349464      21.703254702  
1955  5 16.000000     7.8084052987      21.639674450  
1955  5 26.000000     7.8367599052      21.546639638  
1955  6  5.000000     7.8684784526      21.460547662  
1955  6 15.000000     7.9048029417      21.378359882  
1955  6 25.000000     7.9447125410      21.267130291  
1955  7  5.000000     7.9855330390      21.136327877  
1955  7 15.000000     8.0269834863      21.021187904  
1955  7 25.000000     8.0700806088      20.913226091  
1955  8  4.000000     8.1133292709      20.782602592  
1955  8 14.000000     8.1542820469      20.645107744  
1955  8 24.000000     8.1929679727      20.534570320  
1955  9  3.000000     8.2301687776      20.437499463  
1955  9 13.000000     8.2642252487      20.326533280  
1955  9 23.000000     8.2929486939      20.223664556  
1955 10  3.000000     8.3167561353      20.160027153  
1955 10 13.000000     8.3364865822      20.115757701  
1955 10 23.000000     8.3504277198      20.065842604  
1955 11  2.000000     8.3569847498      20.036345339  
1955 11 12.000000     8.3573382395      20.053053904  
1955 11 22.000000     8.3526358041      20.088363258  
1955 12  2.000000     8.3416903710      20.117805081  
1955 12 12.000000     8.3239158649      20.169538910  
1955 12 22.000000     8.3015761613      20.261601268  
1956  1  1.000000     8.2766093514      20.357539406  
1956  1 11.000000     8.2484413005      20.435401568  
1956  1 21.000000     8.2175274284      20.525202798  
1956  1 31.000000     8.1870693068      20.637273517  
1956  2 10.000000     8.1590818561      20.731467233  
1956  2 20.000000     8.1329954278      20.792649121  
1956  3  1.000000     8.1094731093      20.854560450  
1956  3 11.000000     8.0913899330      20.922873855  
1956  3 21.000000     8.0798720563      20.958434152  
1956  3 31.000000     8.0734437670      20.956004357  
1956  4 10.000000     8.0722039682      20.952250085  
1956  4 20.000000     8.0782069365      20.947903792  
1956  4 30.000000     8.0912381366      20.906967781  
1956  5 10.000000     8.1090672184      20.832657837  
1956  5 20.000000     8.1315049164      20.761632933  
1956  5 30.000000     8.1598197414      20.689588983  
1956  6  9.000000     8.1930002804      20.583219059  
1956  6 19.000000     8.2286060532      20.453026030  
1956  6 29.000000     8.2664363593      20.334368434  
1956  7  9.000000     8.3074362303      20.217498020  
1956  7 19.000000     8.3501018304      20.072679134  
1956  7 29.000000     8.3920836470      19.916931087  
1956  8  8.000000     8.4334796237      19.783386118  
1956  8 18.000000     8.4749047988      19.657856543  
1956  8 28.000000     8.5146088605      19.513984673  
1956  9  7.000000     8.5505489876      19.374569584  
1956  9 17.000000     8.5830340395      19.270496340  
1956  9 27.000000     8.6125767838      19.182076720  
1956 10  7.000000     8.6373536231      19.086144354  
1956 10 17.000000     8.6556930037      19.010387657  
1956 10 27.000000     8.6684501140      18.980868497  
1956 11  6.000000     8.6762401845      18.971325370  
1956 11 16.000000     8.6774927563      18.960393907  
1956 11 26.000000     8.6714208736      18.977859712  
1956 12  6.000000     8.6597045095      19.042450252  
1956 12 16.000000     8.6435720017      19.119199189  
1956 12 26.000000     8.6221930608      19.187810568  
1957  1  5.000000     8.5958468631      19.279089645  
1957  1 15.000000     8.5673560184      19.402224117  
1957  1 25.000000     8.5384996638      19.515950612  
1957  2  4.000000     8.5088588030      19.604763034  
1957  2 14.000000     8.4794714862      19.701215872  
1957  2 24.000000     8.4533967231      19.808248655  
1957  3  6.000000     8.4319692060      19.884336525  
1957  3 16.000000     8.4143494652      19.923273985  
1957  3 26.000000     8.4011964231      19.961042438  
1957  4  5.000000     8.3948617279      19.996143998  
1957  4 15.000000     8.3954846704      19.990709528  
1957  4 25.000000     8.4012775438      19.948581897  
1957  5  5.000000     8.4124452128      19.906294760  
1957  5 15.000000     8.4304135632      19.858032973  
1957  5 25.000000     8.4542448319      19.769979431  
1957  6  4.000000     8.4817938550      19.653453483  
1957  6 14.000000     8.5130414659      19.543885644  
1957  6 24.000000     8.5488459882      19.430433905  
1957  7  4.000000     8.5877569205      19.283193331  
1957  7 14.000000     8.6275759386      19.120189838  
1957  7 24.000000     8.6684398414      18.974227911  
1957  8  3.000000     8.7108742244      18.830020429  
1957  8 13.000000     8.7530714416      18.662034585  
1957  8 23.000000     8.7931352079      18.493721230  
1957  9  2.000000     8.8313641937      18.355323249  
1957  9 12.000000     8.8680022050      18.227236885  
1957  9 22.000000     8.9011877331      18.087536255  
1957 10  2.000000     8.9293099545      17.964953993  
1957 10 12.000000     8.9529600878      17.885617401  
1957 10 22.000000     8.9723750498      17.824372210  
1957 11  1.000000     8.9857528144      17.762455280  
1957 11 11.000000     8.9921343170      17.731352596  
1957 11 21.000000     8.9927315422      17.750524353  
1957 12  1.000000     8.9880745565      17.787414692  
1957 12 11.000000     8.9770102323      17.824350001  
1957 12 21.000000     8.9595728931      17.893402002  
1957 12 31.000000     8.9379617440      18.004385960  
1958  1 10.000000     8.9134668370      18.116457825  
1958  1 20.000000     8.8856149719      18.214863820  
1958  1 30.000000     8.8554845396      18.331526962  
1958  2  9.000000     8.8260577453      18.467392765  
1958  2 19.000000     8.7986857340      18.579035300  
1958  3  1.000000     8.7730063096      18.658995330  
1958  3 11.000000     8.7502345851      18.741646961  
1958  3 21.000000     8.7329397853      18.823018060  
1958  3 31.000000     8.7216455215      18.862836376  
1958  4 10.000000     8.7151755390      18.864379007  
1958  4 20.000000     8.7141741669      18.863767977  
1958  4 30.000000     8.7203154712      18.853076997  
1958  5 10.000000     8.7328801919      18.797567041  
1958  5 20.000000     8.7500822969      18.709072183  
1958  5 30.000000     8.7721901600      18.622830362  
1958  6  9.000000     8.8000367095      18.526919735  
1958  6 19.000000     8.8322420105      18.391106802  
1958  6 29.000000     8.8668646354      18.234149287  
1958  7  9.000000     8.9040763582      18.088725307  
1958  7 19.000000     8.9443245105      17.938526000  
1958  7 29.000000     8.9858322620      17.758290603  
1958  8  8.000000     9.0268254411      17.572268091  
1958  8 18.000000     9.0676328539      17.409900647  
1958  8 28.000000     9.1083111690      17.251358992  
1958  9  7.000000     9.1469785886      17.075699498  
1958  9 17.000000     9.1821711246      16.912035271  
1958  9 27.000000     9.2143042445      16.786419703  
1958 10  7.000000     9.2433151110      16.674355831  
1958 10 17.000000     9.2673399590      16.558991738  
1958 10 27.000000     9.2853223336      16.473051811  
1958 11  6.000000     9.2981024211      16.436671089  
1958 11 16.000000     9.3056869203      16.419495217  
1958 11 26.000000     9.3066111400      16.406885285  
1958 12  6.000000     9.3006896203      16.432356753  
1958 12 16.000000     9.2894642471      16.507224948  
1958 12 26.000000     9.2735774830      16.592891482  
1959  1  5.000000     9.2523735180      16.676205613  
1959  1 15.000000     9.2267140850      16.789780577  
1959  1 25.000000     9.1991702733      16.933996418  
1959  2  4.000000     9.1708977684      17.064874655  
1959  2 14.000000     9.1417477788      17.174183858  
1959  2 24.000000     9.1132791540      17.294652776  
1959  3  6.000000     9.0881615652      17.419880592  
1959  3 16.000000     9.0671726052      17.507177327  
1959  3 26.000000     9.0498130624      17.558222942  
1959  4  5.000000     9.0372116040      17.607934510  
1959  4 15.000000     9.0312907496      17.646042985  
1959  4 25.000000     9.0317110378      17.635889435  
1959  5  5.000000     9.0371513372      17.589368865  
1959  5 15.000000     9.0482360070      17.541095402  
1959  5 25.000000     9.0658993321      17.477733246  
1959  6  4.000000     9.0888816751      17.368539752  
1959  6 14.000000     9.1155748058      17.232618448  
1959  6 24.000000     9.1462689107      17.102544470  
1959  7  4.000000     9.1813176654      16.961063865  
1959  7 14.000000     9.2190499139      16.782827826  
1959  7 24.000000     9.2578488738      16.592732901  
1959  8  3.000000     9.2980507699      16.419752901  
1959  8 13.000000     9.3396134408      16.243349470  
1959  8 23.000000     9.3806484973      16.043389343  
1959  9  2.000000     9.4198549574      15.849199338  
1959  9 12.000000     9.4575720832      15.686315118  
1959  9 22.000000     9.4934853178      15.530775101  
1959 10  2.000000     9.5257588827      15.366827180  
1959 10 12.000000     9.5533601644      15.227938701  
1959 10 22.000000     9.5768218022      15.134575278  
1959 11  1.000000     9.5958007888      15.058135222  
1959 11 11.000000     9.6086420297      14.986464413  
1959 11 21.000000     9.6149712431      14.954503675  
1959 12  1.000000     9.6157991657      14.975034597  
1959 12 11.000000     9.6111135149      15.012577578  
1959 12 21.000000     9.6000163638      15.056430536  
1959 12 31.000000     9.5830717951      15.140517464  
1960  1 10.000000     9.5621909018      15.266603254  
1960  1 20.000000     9.5381187444      15.391721998  
1960  1 30.000000     9.5107006298      15.508156459  
1960  2  9.000000     9.4815036994      15.647828694  
1960  2 19.000000     9.4530735882      15.802871639  
1960  2 29.000000     9.4262486583      15.928891007  
1960  3 10.000000     9.4010636931      16.025651958  
1960  3 20.000000     9.3791201958      16.126157274  
1960  3 30.000000     9.3625020737      16.217740316  
1960  4  9.000000     9.3513040087      16.261154699  
1960  4 19.000000     9.3448193265      16.267148898  
1960  4 29.000000     9.3440520098      16.269458293  
1960  5  9.000000     9.3501458038      16.252662502  
1960  5 19.000000     9.3620881440      16.184999604  
1960  5 29.000000     9.3786649374      16.085569412  
1960  6  8.000000     9.4003916804      15.986490996  
1960  6 18.000000     9.4275713055      15.869620674  
1960  6 28.000000     9.4586737516      15.709174963  
1960  7  8.000000     9.4923366098      15.530461165  
1960  7 18.000000     9.5288856705      15.362193415  
1960  7 28.000000     9.5682138452      15.183087113  
1960  8  7.000000     9.6085024569      14.973247140  
1960  8 17.000000     9.6485803765      14.762401003  
1960  8 27.000000     9.6887734677      14.575364383  
1960  9  6.000000     9.7285829427      14.388311637  
1960  9 16.000000     9.7662199849      14.186311552  
1960  9 26.000000     9.8007715442      14.002895214  
1960 10  6.000000     9.8325385690      13.858719312  
1960 10 16.000000     9.8609244263      13.726239400  
1960 10 26.000000     9.8842456404      13.595083250  
1960 11  5.000000     9.9019930274      13.501153006  
1960 11 15.000000     9.9147697473      13.458435389  
1960 11 25.000000     9.9220690154      13.434270954  
1960 12  5.000000     9.9227430717      13.420721937  
1960 12 15.000000     9.9170902619      13.453148413  
1960 12 25.000000     9.9063163229      13.535650963  
1961  1  4.000000     9.8906067705      13.627994762  
1961  1 14.000000     9.8696723227      13.723881573  
1961  1 24.000000     9.8448107036      13.855991610  
1961  2  3.000000     9.8181486253      14.016580659  
1961  2 13.000000     9.7903857009      14.161009649  
1961  2 23.000000     9.7618171399      14.287850475  
1961  3  5.000000     9.7343325444      14.428292250  
1961  3 15.000000     9.7100575038      14.567624972  
1961  3 25.000000     9.6894069846      14.664012104  
1961  4  4.000000     9.6723602602      14.726026886  
1961  4 14.000000     9.6603180832      14.785878359  
1961  4 24.000000     9.6546478083      14.825832517  
1961  5  4.000000     9.6547482702      14.812003672  
1961  5 14.000000     9.6598757664      14.762985775  
1961  5 24.000000     9.6708498214      14.710001612  
1961  6  3.000000     9.6880380933      14.633587312  
1961  6 13.000000     9.7100915231      14.507305613  
1961  6 23.000000     9.7359908143      14.356375844  
1961  7  3.000000     9.7661137711      14.209354530  
1961  7 13.000000     9.8002782641      14.044147044  
1961  7 23.000000     9.8368194131      13.840715633  
1961  8  2.000000     9.8747117312      13.629090133  
1961  8 12.000000     9.9142603815      13.433640566  
1961  8 22.000000     9.9548728494      13.230142392  
1961  9  1.000000     9.9948051997      13.004306345  
1961  9 11.000000    10.0332998873      12.789551223  
1961  9 21.000000    10.0705214017      12.606255530  
1961 10  1.000000    10.1056618788      12.427714539  
1961 10 11.000000    10.1371141240      12.244417648  
1961 10 21.000000    10.1643379560      12.092805717  
1961 10 31.000000    10.1876019283      11.987580882  
1961 11 10.000000    10.2060896686      11.898240212  
1961 11 20.000000    10.2184914157      11.819091300  
1961 11 30.000000    10.2248820690      11.786810819  
1961 12 10.000000    10.2258884746      11.807698193  
1961 12 20.000000    10.2211107260      11.845050315  
1961 12 30.000000    10.2100713184      11.894750102  
1962  1  9.000000    10.1937015845      11.990978336  
1962  1 19.000000    10.1734646496      12.128139030  
1962  1 29.000000    10.1497370676      12.262918889  
1962  2  8.000000    10.1228339576      12.394115175  
1962  2 18.000000    10.0946119025      12.552216628  
1962  2 28.000000    10.0670440400      12.721582639  
1962  3 10.000000    10.0406703540      12.858684671  
1962  3 20.000000    10.0160327957      12.969620907  
1962  3 30.000000     9.9949064499      13.084642845  
1962  4  9.000000     9.9787966986      13.183731348  
1962  4 19.000000     9.9675918082      13.230135509  
1962  4 29.000000     9.9611398911      13.240781769  
1962  5  9.000000     9.9605784623      13.245785616  
1962  5 19.000000     9.9664633488      13.223623840  
1962  5 29.000000     9.9777303692      13.146604480  
1962  6  8.000000     9.9937668936      13.039508970  
1962  6 18.000000    10.0151057781      12.930311003  
1962  6 28.000000    10.0415172672      12.796164519  
1962  7  8.000000    10.0715439221      12.616382645  
1962  7 18.000000    10.1043889901      12.421129528  
1962  7 28.000000    10.1403110274      12.234514514  
1962  8  7.000000    10.1786800585      12.031751090  
1962  8 17.000000    10.2178544135      11.798637607  
1962  8 27.000000    10.2572013557      11.568710799  
1962  9  6.000000    10.2968292396      11.361792679  
1962  9 16.000000    10.3357702955      11.151558146  
1962  9 26.000000    10.3725198537      10.929065193  
1962 10  6.000000    10.4066081092      10.730641183  
1962 10 16.000000    10.4380348233      10.571500125  
1962 10 26.000000    10.4657874591      10.422430548  
1962 11  5.000000    10.4885396680      10.279282739  
1962 11 15.000000    10.5061857960      10.179608696  
1962 11 25.000000    10.5189224238      10.131407378  
1962 12  5.000000    10.5258971564      10.101151146  
1962 12 15.000000    10.5264258962      10.087149735  
1962 12 25.000000    10.5211114857      10.125164727  
1963  1  4.000000    10.5106936469      10.212669894  
1963  1 14.000000    10.4950880513      10.309290705  
1963  1 24.000000    10.4744941361      10.415016578  
1963  2  3.000000    10.4504463877      10.561375802  
